[30/06/2026 17:13:21] Encerramento solicitado.
[30/06/2026 17:13:22] Frontend ja estava parado.
[30/06/2026 17:13:31] Script iniciado. Acao=
[30/06/2026 17:13:39] Encerramento solicitado.
[30/06/2026 17:13:39] Frontend ja estava parado.
[30/06/2026 17:14:34] Script iniciado. Acao=
[30/06/2026 17:14:40] Encerramento solicitado.
[30/06/2026 17:14:41] Frontend ja estava parado.
[30/06/2026 17:14:54] Encerramento solicitado.
[30/06/2026 17:14:54] Frontend ja estava parado.
[30/06/2026 17:14:59] Encerramento solicitado.
[30/06/2026 17:14:59] Frontend ja estava parado.
[30/06/2026 17:15:17] Script iniciado. Acao=stop
[30/06/2026 17:15:41] Script iniciado. Acao=stop
[30/06/2026 17:15:41] Encerramento solicitado.
[30/06/2026 17:15:42] Frontend ja estava parado.
[30/06/2026 17:15:43] Backend: PID 36376  encerrado.
[30/06/2026 17:15:44] Backend porta 8000: PID 36376 encerrado.
[30/06/2026 17:15:45] Backend encerrado.
[30/06/2026 17:18:24] Opcao invalida: 
[30/06/2026 17:18:27] Menu fechado pelo usuario.
[30/06/2026 17:18:29] Script iniciado. Acao=
[30/06/2026 17:18:34] Inicio solicitado.
[30/06/2026 17:18:41] Frontend ja estava parado.
[30/06/2026 17:18:41] Backend ja estava parado.
[30/06/2026 17:18:41] Iniciando backend.
[30/06/2026 17:18:46] Backend iniciado com PID 2428.
[30/06/2026 17:18:46] Iniciando frontend.
[30/06/2026 17:18:46] Gerando build do frontend para runtime estavel.
[30/06/2026 17:18:49] Build do frontend concluido.
[30/06/2026 17:18:51] Frontend iniciado com PID 39452.
[30/06/2026 17:20:19] Script iniciado. Acao=start
[30/06/2026 17:20:19] Inicio solicitado.
[30/06/2026 17:20:25] Encerramento solicitado.
[30/06/2026 17:20:25] Frontend: PID 39452  encerrado.
[30/06/2026 17:20:26] Frontend porta 3500: PID 39452 encerrado.
[30/06/2026 17:20:27] Frontend encerrado.
[30/06/2026 17:20:28] Frontend: PID 39452  encerrado.
[30/06/2026 17:20:28] Frontend encerrado.
[30/06/2026 17:20:28] Backend: PID 2428  encerrado.
[30/06/2026 17:20:29] Backend porta 8000: PID 2428 encerrado.
[30/06/2026 17:20:30] Backend encerrado.
[30/06/2026 17:20:30] Iniciando backend.
[30/06/2026 17:20:31] Backend: PID 2428  encerrado.
[30/06/2026 17:20:31] Backend encerrado.
[30/06/2026 17:20:34] Backend iniciado com PID 43820.
[30/06/2026 17:20:34] Iniciando frontend.
[30/06/2026 17:20:35] Gerando build do frontend para runtime estavel.
[30/06/2026 17:20:36] Build do frontend concluido.
[30/06/2026 17:20:40] Frontend iniciado com PID 41972.
[30/06/2026 17:21:47] Opcao invalida: 
[30/06/2026 17:21:49] Menu fechado pelo usuario.
[30/06/2026 17:21:51] Script iniciado. Acao=
[30/06/2026 17:21:57] Encerramento solicitado.
[30/06/2026 17:22:01] Frontend: PID 41972  encerrado.
[30/06/2026 17:22:03] Frontend porta 3500: PID 41972 encerrado.
[30/06/2026 17:22:04] Frontend encerrado.
[30/06/2026 17:22:07] Backend: PID 43820  encerrado.
[30/06/2026 17:22:09] Backend porta 8000: PID 43820 encerrado.
[30/06/2026 17:22:10] Backend encerrado.
[30/06/2026 17:22:26] Inicio solicitado.
[30/06/2026 17:22:30] Frontend ja estava parado.
[30/06/2026 17:22:30] Backend ja estava parado.
[30/06/2026 17:22:31] Iniciando backend.
[30/06/2026 17:22:34] Backend iniciado com PID 54204.
[30/06/2026 17:22:34] Iniciando frontend.
[30/06/2026 17:22:35] Gerando build do frontend para runtime estavel.
[30/06/2026 17:22:36] Build do frontend concluido.
[30/06/2026 17:22:38] Frontend iniciado com PID 50788.
[30/06/2026 17:23:28] Script iniciado. Acao=
[30/06/2026 17:24:47] Script iniciado. Acao=
[30/06/2026 17:24:54] Encerramento solicitado.
[30/06/2026 17:24:58] Frontend: PID 50788  encerrado.
[30/06/2026 17:25:00] Frontend porta 3500: PID 50788 encerrado.
[30/06/2026 17:25:01] Frontend encerrado.
[30/06/2026 17:25:04] Backend: PID 54204  encerrado.
[30/06/2026 17:25:06] Backend porta 8000: PID 54204 encerrado.
[30/06/2026 17:25:07] Backend encerrado.
[30/06/2026 17:25:10] Script iniciado. Acao=
[30/06/2026 17:25:15] Inicio solicitado.
[30/06/2026 17:25:19] Frontend ja estava parado.
[30/06/2026 17:25:19] Backend ja estava parado.
[30/06/2026 17:25:19] Iniciando backend.
[30/06/2026 17:25:23] Backend iniciado com PID 22788.
[30/06/2026 17:25:23] Iniciando frontend.
[30/06/2026 17:25:24] Gerando build do frontend para runtime estavel.
[30/06/2026 17:25:25] Build do frontend concluido.
[30/06/2026 17:25:27] Frontend iniciado com PID 26972.
[30/06/2026 17:25:30] Script iniciado. Acao=
[30/06/2026 17:25:35] Opcao invalida: 
[30/06/2026 17:25:38] Menu fechado pelo usuario.
[01/07/2026 08:44:00] Script iniciado. Acao=
[01/07/2026 08:44:09] Encerramento solicitado.
[01/07/2026 08:44:12] Frontend: PID 26972  encerrado.
[01/07/2026 08:44:14] Frontend porta 3500: PID 26972 encerrado.
[01/07/2026 08:44:15] Frontend encerrado.
[01/07/2026 08:44:18] Backend: PID 22788  encerrado.
[01/07/2026 08:44:20] Backend porta 8000: PID 22788 encerrado.
[01/07/2026 08:44:21] Backend encerrado.
[01/07/2026 08:44:23] Script iniciado. Acao=
[01/07/2026 08:44:32] Inicio solicitado.
[01/07/2026 08:44:40] Frontend ja estava parado.
[01/07/2026 08:44:41] Backend ja estava parado.
[01/07/2026 08:44:41] Iniciando backend.
[01/07/2026 08:44:45] Backend iniciado com PID 14392.
[01/07/2026 08:44:46] Iniciando frontend.
[01/07/2026 08:44:46] Gerando build do frontend para runtime estavel.
[01/07/2026 08:44:48] Build do frontend concluido.
[01/07/2026 08:44:50] Frontend iniciado com PID 21420.
[01/07/2026 10:03:49] Script iniciado. Acao=
[01/07/2026 10:03:52] Encerramento solicitado.
[01/07/2026 10:03:56] Frontend: PID 21420  encerrado.
[01/07/2026 10:03:58] Frontend porta 3500: PID 21420 encerrado.
[01/07/2026 10:03:59] Frontend encerrado.
[01/07/2026 10:04:02] Backend: PID 14392  encerrado.
[01/07/2026 10:04:04] Backend porta 8000: PID 14392 encerrado.
[01/07/2026 10:04:05] Backend encerrado.
[01/07/2026 10:04:11] Script iniciado. Acao=
[01/07/2026 10:04:16] Inicio solicitado.
[01/07/2026 10:04:21] Frontend ja estava parado.
[01/07/2026 10:04:21] Backend ja estava parado.
[01/07/2026 10:04:22] Iniciando backend.
[01/07/2026 10:04:25] Backend iniciado com PID 18352.
[01/07/2026 10:04:25] Iniciando frontend.
[01/07/2026 10:04:25] Gerando build do frontend para runtime estavel.
[01/07/2026 10:04:27] Build do frontend concluido.
[01/07/2026 10:04:29] Frontend iniciado com PID 2468.
[01/07/2026 10:08:09] Script iniciado. Acao=
[01/07/2026 10:08:12] Reinicio solicitado.
[01/07/2026 10:08:12] Inicio solicitado.
[01/07/2026 10:08:19] Frontend: PID 2468  encerrado.
[01/07/2026 10:08:21] Frontend porta 3500: PID 2468 encerrado.
[01/07/2026 10:08:22] Frontend encerrado.
[01/07/2026 10:08:25] Backend: PID 18352  encerrado.
[01/07/2026 10:08:28] Backend porta 8000: PID 18352 encerrado.
[01/07/2026 10:08:29] Backend encerrado.
[01/07/2026 10:08:29] Iniciando backend.
[01/07/2026 10:08:32] Backend iniciado com PID 3380.
[01/07/2026 10:08:32] Iniciando frontend.
[01/07/2026 10:08:33] Gerando build do frontend para runtime estavel.
[01/07/2026 10:08:34] Build do frontend concluido.
[01/07/2026 10:08:36] Frontend iniciado com PID 4312.
[01/07/2026 10:30:47] Script iniciado. Acao=
[01/07/2026 10:30:50] Encerramento solicitado.
[01/07/2026 10:30:53] Frontend: PID 4312  encerrado.
[01/07/2026 10:30:55] Frontend porta 3500: PID 4312 encerrado.
[01/07/2026 10:30:56] Frontend encerrado.
[01/07/2026 10:30:59] Backend: PID 3380  encerrado.
[01/07/2026 10:31:02] Backend porta 8000: PID 3380 encerrado.
[01/07/2026 10:31:03] Backend encerrado.
[01/07/2026 10:31:05] Script iniciado. Acao=
[01/07/2026 10:31:09] Opcao invalida: 
[01/07/2026 10:31:12] Inicio solicitado.
[01/07/2026 10:31:17] Frontend ja estava parado.
[01/07/2026 10:31:17] Backend ja estava parado.
[01/07/2026 10:31:18] Iniciando backend.
[01/07/2026 10:31:21] Backend iniciado com PID 25064.
[01/07/2026 10:31:22] Iniciando frontend.
[01/07/2026 10:31:22] Gerando build do frontend para runtime estavel.
[01/07/2026 10:31:24] Build do frontend concluido.
[01/07/2026 10:31:27] Frontend iniciado com PID 43016.
[01/07/2026 10:35:58] Script iniciado. Acao=
[01/07/2026 10:36:01] Encerramento solicitado.
[01/07/2026 10:36:04] Frontend: PID 43016  encerrado.
[01/07/2026 10:36:06] Frontend porta 3500: PID 43016 encerrado.
[01/07/2026 10:36:07] Frontend encerrado.
[01/07/2026 10:36:10] Backend: PID 25064  encerrado.
